nchar	israel	israeli	palestine	palestinian	arab	gaza	intifada	jewish	zionism	hamas	language	total	totalperchar	link
12875	24	6	21	2	7	0	0	62	7	0	4	129	0.0100194174757282	https://en.wikipedia.org/wiki/Homeland_for_the_Jewish_people
33026	36	10	85	24	30	12	3	17	1	0	4	218	0.00660085992854115	https://en.wikipedia.org/wiki/Palestine_(region)
98642	2	2	0	0	31	0	0	1	0	0	4	36	0.000364956103890838	https://en.wikipedia.org/wiki/Ottoman_Empire
92641	0	0	3	0	12	1	0	0	0	0	4	16	0.00017270970736499	https://en.wikipedia.org/wiki/World_War_I
60349	13	5	125	15	49	1	0	39	4	0	4	251	0.00415914099653681	https://en.wikipedia.org/wiki/Mandate_for_Palestine
57975	20	5	94	76	196	0	0	125	44	0	4	560	0.00965933592065545	https://en.wikipedia.org/wiki/Intercommunal_conflict_in_Mandatory_Palestine
79629	4	3	75	48	174	0	0	96	2	0	4	402	0.00504841201069962	https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine
38612	4	1	65	22	101	2	0	89	3	0	4	287	0.0074329224075417	https://en.wikipedia.org/wiki/United_Nations_Partition_Plan_for_Palestine
36072	78	41	38	48	112	5	2	43	6	0	4	373	0.0103404302506099	https://en.wikipedia.org/wiki/1948_Palestine_war
54817	122	69	24	92	107	3	1	45	1	0	4	464	0.00846452742762282	https://en.wikipedia.org/wiki/1948_Palestinian_expulsion_and_flight
89280	30	9	1	1	70	6	0	2	0	2	4	121	0.00135528673835125	https://en.wikipedia.org/wiki/Egypt
43473	149	55	62	105	29	70	3	13	0	17	4	503	0.0115704000184022	https://en.wikipedia.org/wiki/Palestinian_territories
768	0	0	0	0	0	0	0	0	0	0	4	0	0	https://en.wikipedia.org/wiki/List_of_military_occupations
2157	8	2	0	2	1	0	0	0	0	0	4	13	0.00602688919796013	https://en.wikipedia.org/wiki/List_of_United_Nations_resolutions_concerning_Israel
76405	262	123	4	201	16	14	9	17	0	3	4	649	0.00849420849420849	https://en.wikipedia.org/wiki/Human_rights_violations_against_Palestinians_by_Israel
9694	99	76	1	44	7	12	3	0	0	11	4	253	0.0260986177016711	https://en.wikipedia.org/wiki/Timeline_of_the_Israeli%E2%80%93Palestinian_conflict
2440	11	3	0	0	1	0	0	0	0	0	4	15	0.00614754098360656	https://en.wikipedia.org/wiki/Israeli_government
29545	108	50	3	87	4	27	5	2	0	5	4	291	0.0098493822981892	https://en.wikipedia.org/wiki/Oslo_Accords
25505	78	41	22	62	25	12	3	12	0	10	4	265	0.0103901195843952	https://en.wikipedia.org/wiki/Two-state_solution
82875	124	52	181	214	39	73	7	30	1	20	4	741	0.00894117647058824	https://en.wikipedia.org/wiki/State_of_Palestine
63148	376	193	11	21	72	2	2	177	4	0	4	858	0.0135871286501552	https://en.wikipedia.org/wiki/Israeli_Jews
68357	84	38	99	318	151	19	5	26	8	0	4	748	0.0109425516040786	https://en.wikipedia.org/wiki/Palestinians
8021	19	8	1	20	0	1	1	0	0	2	4	52	0.00648298217179903	https://en.wikipedia.org/wiki/Quartet_on_the_Middle_East
59237	6	2	2	1	2	0	0	0	1	0	4	14	0.000236338774752266	https://en.wikipedia.org/wiki/United_Nations
67023	1	0	0	0	0	0	0	2	0	0	4	3	4.47607537710935e-05	https://en.wikipedia.org/wiki/United_States
87805	0	0	0	0	6	0	0	0	0	0	4	6	6.83332384260577e-05	https://en.wikipedia.org/wiki/Russia
93163	1	1	0	0	2	0	0	1	0	0	4	5	5.36693751811341e-05	https://en.wikipedia.org/wiki/European_Union
18722	9	2	8	6	122	3	0	0	0	1	4	151	0.00806537763059502	https://en.wikipedia.org/wiki/Arab_League
50512	161	66	8	88	167	7	5	5	0	28	4	535	0.0105915426037377	https://en.wikipedia.org/wiki/Arab_Peace_Initiative
21851	64	19	9	42	4	34	1	0	0	90	4	263	0.0120360624227724	https://en.wikipedia.org/wiki/Fatah%E2%80%93Hamas_reconciliation_process
8730	15	3	0	0	3	1	0	1	0	3	4	26	0.00297823596792669	https://en.wikipedia.org/wiki/2018%E2%80%932022_Israeli_political_crisis
27279	145	59	5	94	4	5	3	16	0	8	4	339	0.0124271417573958	https://en.wikipedia.org/wiki/2013%E2%80%932014_Israeli%E2%80%93Palestinian_peace_talks
86446	373	162	7	124	18	146	3	2	0	146	4	981	0.0113481248409412	https://en.wikipedia.org/wiki/2023_Israel%E2%80%93Hamas_war
70135	231	95	84	149	106	41	6	90	2	42	4	846	0.0120624509873815	https://en.wikipedia.org/wiki/History_of_the_Israeli%E2%80%93Palestinian_conflict
155	2	1	0	1	0	1	0	0	0	0	4	5	0.032258064516129	https://en.wikipedia.org/wiki/Military_operations_of_the_Israeli%E2%80%93Palestinian_conflict
59378	31	11	12	25	201	6	0	5	0	2	4	293	0.00493448752063054	https://en.wikipedia.org/wiki/Arab_Christian
10769	1	1	17	13	18	1	0	1	5	0	4	57	0.00529297056365494	https://en.wikipedia.org/wiki/Falastin_(newspaper)
11321	46	11	11	4	6	1	0	53	6	0	4	138	0.0121897358890557	https://en.wikipedia.org/wiki/Jewish_state
66932	30	11	0	1	14	0	0	91	4	2	4	153	0.00228590210960378	https://en.wikipedia.org/wiki/Antisemitism
10307	9	0	6	0	0	0	0	24	1	0	4	40	0.00388085766954497	https://en.wikipedia.org/wiki/First_Aliyah
6581	5	0	8	0	0	0	0	14	2	0	4	29	0.00440662513295852	https://en.wikipedia.org/wiki/Second_Aliyah
15038	1	1	0	1	2	0	0	0	0	0	4	5	0.000332491022742386	https://en.wikipedia.org/wiki/Ethnic_cleansing
24488	62	33	3	35	33	0	5	14	1	0	4	186	0.00759555700751388	https://en.wikipedia.org/wiki/Benny_Morris
45120	22	4	40	1	12	0	0	52	21	0	4	152	0.00336879432624113	https://en.wikipedia.org/wiki/Chaim_Weizmann
38489	0	0	3	0	3	0	0	1	0	0	4	7	0.000181870144716672	https://en.wikipedia.org/wiki/Paris_Peace_Conference_(1919%E2%80%931920)
26249	8	0	42	2	49	2	0	57	1	0	4	161	0.00613356699302831	https://en.wikipedia.org/wiki/Yishuv
103794	21	10	96	79	178	9	0	89	13	0	4	495	0.00476906179547951	https://en.wikipedia.org/wiki/Haj_Amin_al-Husseini
32849	25	8	48	103	79	10	4	4	7	6	4	294	0.00895004414137417	https://en.wikipedia.org/wiki/Palestinian_nationalism
17652	0	0	13	5	38	0	0	23	2	0	4	81	0.00458871515975527	https://en.wikipedia.org/wiki/1920_Nebi_Musa_riots
9766	0	0	5	0	33	0	0	23	0	0	4	61	0.00624616014745034	https://en.wikipedia.org/wiki/Jaffa_riots
20309	15	6	32	8	19	0	0	49	0	0	4	129	0.00635186370574622	https://en.wikipedia.org/wiki/Haganah
34496	1	0	16	1	91	0	0	65	1	0	4	175	0.00507305194805195	https://en.wikipedia.org/wiki/1929_Palestine_riots
26346	10	6	11	1	70	0	0	52	2	0	4	152	0.0057693767554847	https://en.wikipedia.org/wiki/1929_Hebron_massacre
34496	1	0	16	1	91	0	0	65	1	0	4	175	0.00507305194805195	https://en.wikipedia.org/wiki/1929_Palestine_riots#Safed_massacre,_29_August
79629	4	3	75	48	174	0	0	96	2	0	4	402	0.00504841201069962	https://en.wikipedia.org/wiki/1936%E2%80%9339_Arab_revolt_in_Palestine
21220	4	4	15	15	16	1	1	11	1	1	4	69	0.00325164938737041	https://en.wikipedia.org/wiki/Izz_ad-Din_al-Qassam
1802	1	1	4	0	2	0	0	3	0	0	4	11	0.00610432852386238	https://en.wikipedia.org/wiki/Jewish_Settlement_Police
